genomeID,difference count,iterations,,,,,,,,,,,,,,,,,,,,
GCA_000003645,10,['9', '9', '6', '3', '1', '2', '1', '3', '2', '0'],,,,,,,,,,,
GCA_000021125,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000021145,4,['2', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000021165,8,['10', '5', '4', '2', '1', '1', '1', '0'],,,,,,,,,,,,,
GCA_000021185,7,['11', '7', '8', '4', '3', '1', '0'],,,,,,,,,,,,,,
GCA_000021205,8,['13', '9', '7', '2', '3', '2', '1', '0'],,,,,,,,,,,,,
GCA_000021225,5,['13', '6', '3', '2', '0'],,,,,,,,,,,,,,,,
GCA_000021245,3,['2', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000021265,8,['10', '4', '1', '1', '2', '2', '2', '0'],,,,,,,,,,,,,
GCA_000021285,4,['7', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000021305,6,['12', '13', '2', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000021325,4,['5', '3', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000021345,3,['7', '3', '0'],,,,,,,,,,,,,,,,,,
GCA_000021365,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000021385,4,['7', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000021405,3,['6', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000021425,6,['4', '1', '1', '3', '2', '0'],,,,,,,,,,,,,,,
GCA_000021445,8,['14', '9', '8', '3', '2', '1', '1', '0'],,,,,,,,,,,,,
GCA_000021465,5,['5', '3', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000021485,6,['11', '11', '8', '5', '2', '0'],,,,,,,,,,,,,,,
GCA_000021505,5,['2', '3', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000021525,3,['7', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000021545,4,['6', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000021565,4,['14', '6', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000021605,3,['2', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000021625,3,['2', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000021645,12,['2', '1', '1', '1', '1', '1', '2', '2', '1', '1', '1', '0'],,,,,,,,,
GCA_000021665,6,['2', '3', '2', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000021685,3,['9', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000021705,2,['8', '0'],,,,,,,,,,,,,,,,,,,
GCA_000021725,5,['15', '2', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000021745,5,['6', '2', '2', '2', '0'],,,,,,,,,,,,,,,,
GCA_000021765,8,['10', '4', '3', '1', '1', '1', '2', '0'],,,,,,,,,,,,,
GCA_000021785,5,['16', '10', '3', '2', '0'],,,,,,,,,,,,,,,,
GCA_000021805,5,['20', '10', '4', '1', '0'],,,,,,,,,,,,,,,,
GCA_000021825,6,['10', '3', '6', '4', '1', '0'],,,,,,,,,,,,,,,
GCA_000021845,4,['5', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000021865,5,['1', '1', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000021885,3,['4', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000021905,3,['10', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000021925,9,['9', '9', '9', '12', '7', '1', '1', '1', '0'],,,,,,,,,,,,
GCA_000021945,4,['10', '9', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000021985,7,['6', '2', '1', '1', '1', '2', '0'],,,,,,,,,,,,,,
GCA_000022005,2,['2', '0'],,,,,,,,,,,,,,,,,,,
GCA_000022025,5,['5', '3', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000022045,8,['5', '4', '4', '5', '3', '3', '3', '0'],,,,,,,,,,,,,
GCA_000022065,3,['7', '3', '0'],,,,,,,,,,,,,,,,,,
GCA_000022085,11,['8', '6', '5', '2', '2', '1', '3', '2', '2', '1', '0'],,,,,,,,,,
GCA_000022105,5,['11', '4', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000022125,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000022145,13,['4', '3', '4', '5', '8', '4', '2', '1', '1', '1', '3', '1', '0'],,,,,,,,
GCA_000022165,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000022185,3,['10', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000022225,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000022245,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000022265,5,['11', '7', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000022285,5,['8', '5', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000022305,5,['9', '6', '5', '2', '0'],,,,,,,,,,,,,,,,
GCA_000022325,4,['10', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000022345,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000022505,10,['13', '12', '6', '5', '3', '1', '1', '2', '1', '0'],,,,,,,,,,,
GCA_000022525,21,['8', '4', '5', '3', '1', '1', '1', '1', '2', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
GCA_000022565,7,['5', '3', '6', '5', '2', '1', '0'],,,,,,,,,,,,,,
GCA_000022585,3,['2', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000022605,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000022625,3,['4', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000022645,4,['4', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000022665,3,['4', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000022685,6,['6', '5', '3', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000022705,8,['4', '1', '1', '1', '1', '2', '1', '0'],,,,,,,,,,,,,
GCA_000022725,6,['8', '5', '4', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000022745,4,['3', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000022765,4,['8', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000022785,3,['5', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000022805,3,['5', '3', '0'],,,,,,,,,,,,,,,,,,
GCA_000022825,3,['6', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000022845,4,['6', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000022865,8,['14', '9', '7', '2', '2', '1', '2', '0'],,,,,,,,,,,,,
GCA_000022885,4,['5', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000022905,0,[],,,,,,,,,,,,,,,,,,,,
GCA_000022925,5,['10', '12', '7', '1', '0'],,,,,,,,,,,,,,,,
GCA_000022945,2,['1', '0'],,,,,,,,,,,,,,,,,,,
GCA_000022965,8,['4', '1', '1', '1', '1', '2', '1', '0'],,,,,,,,,,,,,
GCA_000022985,14,['5', '5', '3', '3', '3', '2', '5', '6', '6', '3', '1', '1', '1', '0'],,,,,,,
GCA_000023005,4,['3', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000023025,5,['5', '1', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000023045,4,['3', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000023065,4,['5', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000023085,3,['4', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000023105,3,['4', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000023125,9,['8', '8', '6', '4', '3', '1', '1', '1', '0'],,,,,,,,,,,,
GCA_000023145,7,['3', '5', '6', '4', '2', '1', '0'],,,,,,,,,,,,,,
GCA_000023165,4,['8', '4', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000023185,5,['7', '2', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000023205,5,['6', '5', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000023225,4,['14', '5', '3', '0'],,,,,,,,,,,,,,,,,
GCA_000023245,9,['11', '7', '11', '11', '6', '4', '2', '1', '0'],,,,,,,,,,,,
GCA_000023265,4,['11', '3', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000023285,4,['16', '5', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000023305,4,['7', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000023325,5,['13', '5', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000023345,5,['8', '3', '3', '3', '0'],,,,,,,,,,,,,,,,
GCA_000023365,2,['3', '0'],,,,,,,,,,,,,,,,,,,
GCA_000023385,10,['8', '4', '2', '2', '2', '1', '4', '1', '1', '0'],,,,,,,,,,,
GCA_000023405,5,['5', '2', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000023425,2,['5', '0'],,,,,,,,,,,,,,,,,,,
GCA_000023445,3,['8', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000023465,4,['5', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000023545,10,['6', '3', '3', '5', '4', '4', '4', '2', '1', '0'],,,,,,,,,,,
GCA_000023565,7,['4', '2', '1', '1', '2', '2', '0'],,,,,,,,,,,,,,
GCA_000023585,4,['8', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000023605,3,['7', '4', '0'],,,,,,,,,,,,,,,,,,
GCA_000023625,3,['5', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000023645,5,['8', '4', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000023665,3,['4', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000023685,5,['8', '4', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000023705,5,['6', '3', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000023725,3,['15', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000023745,5,['8', '3', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000023765,3,['9', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000023785,3,['6', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000023805,4,['5', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000023825,5,['7', '4', '1', '3', '0'],,,,,,,,,,,,,,,,
GCA_000023845,4,['7', '3', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000023865,2,['5', '0'],,,,,,,,,,,,,,,,,,,
GCA_000023885,5,['10', '5', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000023905,5,['5', '5', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000023925,5,['4', '4', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000024005,3,['8', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000024025,5,['11', '4', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000024045,5,['19', '10', '4', '1', '0'],,,,,,,,,,,,,,,,
GCA_000024065,3,['11', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000024085,2,['1', '0'],,,,,,,,,,,,,,,,,,,
GCA_000024105,13,['4', '2', '1', '1', '3', '1', '1', '2', '3', '6', '5', '1', '0'],,,,,,,,
GCA_000024125,6,['8', '5', '3', '5', '2', '0'],,,,,,,,,,,,,,,
GCA_000024145,4,['7', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000024165,4,['13', '5', '4', '0'],,,,,,,,,,,,,,,,,
GCA_000024205,5,['11', '6', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000024225,4,['7', '4', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000024245,2,['3', '0'],,,,,,,,,,,,,,,,,,,
GCA_000024265,4,['12', '6', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000024285,7,['10', '2', '1', '1', '2', '1', '0'],,,,,,,,,,,,,,
GCA_000024325,6,['9', '5', '1', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000024345,3,['9', '4', '0'],,,,,,,,,,,,,,,,,,
GCA_000024365,6,['7', '3', '4', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000024385,2,['3', '0'],,,,,,,,,,,,,,,,,,,
GCA_000024405,5,['8', '4', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000024425,5,['14', '5', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000024445,2,['7', '0'],,,,,,,,,,,,,,,,,,,
GCA_000024465,5,['12', '4', '5', '2', '0'],,,,,,,,,,,,,,,,
GCA_000024485,7,['4', '3', '2', '3', '2', '2', '0'],,,,,,,,,,,,,,
GCA_000024505,5,['8', '4', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000024525,14,['5', '9', '5', '1', '8', '7', '8', '4', '9', '11', '13', '5', '1', '0'],,,,,,,
GCA_000024545,3,['7', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000024565,3,['4', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000024585,8,['10', '7', '4', '2', '1', '1', '1', '0'],,,,,,,,,,,,,
GCA_000024605,4,['12', '5', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000024645,3,['6', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000024665,2,['10', '0'],,,,,,,,,,,,,,,,,,,
GCA_000024685,3,['2', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000024705,4,['3', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000024725,13,['8', '4', '4', '2', '3', '2', '2', '3', '4', '12', '4', '1', '0'],,,,,,,,
GCA_000024765,10,['6', '4', '7', '6', '2', '2', '1', '2', '1', '0'],,,,,,,,,,,
GCA_000024785,3,['4', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000024805,5,['13', '3', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000024825,2,['3', '0'],,,,,,,,,,,,,,,,,,,
GCA_000024845,3,['5', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000024865,6,['7', '3', '1', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000024885,3,['10', '3', '0'],,,,,,,,,,,,,,,,,,
GCA_000024905,6,['8', '2', '1', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000024925,4,['8', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000024945,3,['3', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000024965,4,['4', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000024985,7,['7', '2', '2', '1', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000025005,13,['5', '4', '2', '1', '1', '4', '14', '18', '11', '6', '3', '1', '0'],,,,,,,,
GCA_000025025,3,['8', '3', '0'],,,,,,,,,,,,,,,,,,
GCA_000025045,4,['5', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000025065,4,['7', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000025085,6,['7', '7', '2', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000025105,3,['6', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000025125,3,['7', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000025145,6,['9', '5', '5', '3', '2', '0'],,,,,,,,,,,,,,,
GCA_000025165,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000025185,3,['9', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000025205,20,['7', '3', '3', '4', '2', '3', '4', '4', '2', '6', '5', '5', '6', '10', '3', '3', '1', '1', '1', '0'],
GCA_000025225,5,['15', '8', '3', '1', '0'],,,,,,,,,,,,,,,,
GCA_000025245,8,['4', '1', '1', '1', '1', '2', '1', '0'],,,,,,,,,,,,,
GCA_000025265,4,['2', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000025305,8,['6', '5', '7', '5', '2', '1', '1', '0'],,,,,,,,,,,,,
GCA_000025345,7,['7', '2', '1', '2', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000025365,4,['10', '6', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000025385,5,['11', '7', '4', '1', '0'],,,,,,,,,,,,,,,,
GCA_000025405,2,['6', '0'],,,,,,,,,,,,,,,,,,,
GCA_000025425,7,['7', '1', '3', '2', '1', '2', '0'],,,,,,,,,,,,,,
GCA_000025465,3,['5', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000025485,2,['5', '0'],,,,,,,,,,,,,,,,,,,
GCA_000025545,3,['8', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000025565,4,['6', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000025585,6,['11', '3', '4', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000025605,9,['5', '3', '2', '2', '6', '15', '2', '1', '0'],,,,,,,,,,,,
GCA_000025645,3,['8', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000025705,5,['8', '5', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000025725,4,['11', '10', '4', '0'],,,,,,,,,,,,,,,,,
GCA_000025745,3,['4', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000025765,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000025785,2,['3', '0'],,,,,,,,,,,,,,,,,,,
GCA_000025805,7,['8', '8', '5', '2', '2', '1', '0'],,,,,,,,,,,,,,
GCA_000025825,6,['9', '8', '7', '3', '1', '0'],,,,,,,,,,,,,,,
GCA_000025845,21,['9', '7', '3', '2', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
GCA_000025885,4,['11', '6', '4', '0'],,,,,,,,,,,,,,,,,
GCA_000025905,3,['4', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000025925,3,['5', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000025945,3,['13', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000025965,5,['10', '2', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000025985,7,['10', '16', '7', '1', '2', '1', '0'],,,,,,,,,,,,,,
GCA_000026005,10,['4', '2', '1', '1', '2', '1', '1', '1', '1', '0'],,,,,,,,,,,
GCA_000026025,3,['6', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000026065,3,['5', '3', '0'],,,,,,,,,,,,,,,,,,
GCA_000026085,12,['9', '8', '5', '2', '4', '5', '4', '3', '1', '1', '1', '0'],,,,,,,,,
GCA_000026105,7,['11', '6', '4', '1', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000026125,3,['7', '4', '0'],,,,,,,,,,,,,,,,,,
GCA_000026145,3,['7', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000026185,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000026205,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000026225,2,['5', '0'],,,,,,,,,,,,,,,,,,,
GCA_000026245,6,['4', '1', '1', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000026265,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000026285,3,['4', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000026305,2,['3', '0'],,,,,,,,,,,,,,,,,,,
GCA_000026325,0,[],,,,,,,,,,,,,,,,,,,,
GCA_000026345,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000026405,1,['0'],,,,,,,,,,,,,,,,,,,,
GCA_000026445,4,['7', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000026485,3,['5', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000026505,6,['5', '2', '1', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000026525,5,['4', '1', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000026545,3,['4', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000026565,3,['4', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000026585,3,['2', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000026605,4,['1', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000026645,4,['8', '2', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000026665,5,['4', '3', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000026685,5,['10', '6', '3', '1', '0'],,,,,,,,,,,,,,,,
GCA_000026705,6,['10', '6', '8', '6', '1', '0'],,,,,,,,,,,,,,,
GCA_000026725,2,['2', '0'],,,,,,,,,,,,,,,,,,,
GCA_000026745,5,['3', '2', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000026765,3,['5', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000026905,2,['2', '0'],,,,,,,,,,,,,,,,,,,
GCA_000026925,3,['1', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000026965,9,['9', '11', '9', '6', '7', '5', '3', '2', '0'],,,,,,,,,,,,
GCA_000026985,2,['3', '0'],,,,,,,,,,,,,,,,,,,
GCA_000027025,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000027045,6,['9', '9', '4', '5', '3', '0'],,,,,,,,,,,,,,,
GCA_000027065,5,['6', '2', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000027085,3,['5', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000027105,7,['9', '5', '5', '4', '2', '2', '0'],,,,,,,,,,,,,,
GCA_000027125,3,['4', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000027145,8,['8', '6', '5', '5', '3', '2', '2', '0'],,,,,,,,,,,,,
GCA_000027165,4,['3', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000027185,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000027205,5,['2', '1', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000027225,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000027265,2,['3', '0'],,,,,,,,,,,,,,,,,,,
GCA_000027305,7,['7', '5', '6', '3', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000027325,7,['8', '6', '3', '1', '2', '1', '0'],,,,,,,,,,,,,,
GCA_000027345,8,['10', '4', '4', '2', '1', '1', '1', '0'],,,,,,,,,,,,,
GCA_000039765,4,['2', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000043285,3,['5', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000046685,4,['6', '6', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000046705,9,['7', '3', '3', '2', '2', '2', '2', '1', '0'],,,,,,,,,,,,
GCA_000046845,7,['2', '3', '7', '6', '10', '5', '0'],,,,,,,,,,,,,,
GCA_000047365,4,['6', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000048645,6,['4', '4', '1', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000048665,5,['8', '3', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000050405,4,['6', '3', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000050425,3,['6', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000054005,3,['5', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000055785,3,['13', '6', '0'],,,,,,,,,,,,,,,,,,
GCA_000055945,4,['7', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000056065,2,['2', '0'],,,,,,,,,,,,,,,,,,,
GCA_000058485,3,['8', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000060285,7,['13', '7', '4', '2', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000060345,5,['5', '1', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000061505,6,['10', '4', '2', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000062885,3,['8', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000063485,10,['4', '3', '3', '2', '1', '1', '1', '2', '1', '0'],,,,,,,,,,,
GCA_000063505,4,['6', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000063525,5,['9', '4', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000063545,5,['5', '8', '7', '3', '0'],,,,,,,,,,,,,,,,
GCA_000063585,4,['6', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000063605,4,['6', '4', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000064305,6,['9', '3', '1', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000067045,13,['5', '4', '4', '3', '2', '1', '3', '3', '3', '2', '1', '1', '0'],,,,,,,,
GCA_000067165,3,['3', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000067205,4,['3', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000068525,4,['5', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000068585,4,['6', '2', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000069185,4,['5', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000069205,5,['4', '1', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000069225,8,['5', '2', '1', '1', '2', '2', '1', '0'],,,,,,,,,,,,,
GCA_000069245,4,['2', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000069785,5,['10', '5', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000069925,6,['7', '2', '1', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000069945,3,['1', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000069965,3,['5', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000070465,3,['6', '3', '0'],,,,,,,,,,,,,,,,,,
GCA_000070605,5,['5', '2', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000072485,5,['8', '4', '2', '2', '0'],,,,,,,,,,,,,,,,
GCA_000073005,2,['7', '0'],,,,,,,,,,,,,,,,,,,
GCA_000083545,7,['4', '2', '2', '3', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000083565,10,['11', '11', '6', '7', '7', '5', '5', '4', '1', '0'],,,,,,,,,,,
GCA_000085225,6,['9', '5', '3', '2', '3', '0'],,,,,,,,,,,,,,,
GCA_000085865,6,['7', '1', '1', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000087965,0,[],,,,,,,,,,,,,,,,,,,,
GCA_000089865,6,['8', '2', '3', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000090405,4,['9', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000090965,4,['5', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000091005,2,['3', '0'],,,,,,,,,,,,,,,,,,,
GCA_000091085,0,[],,,,,,,,,,,,,,,,,,,,
GCA_000091125,6,['4', '1', '1', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000091165,7,['11', '7', '2', '2', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000091305,21,['9', '3', '4', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']
GCA_000091325,9,['3', '2', '2', '2', '4', '10', '9', '3', '0'],,,,,,,,,,,,
GCA_000091345,8,['6', '2', '4', '1', '1', '1', '1', '0'],,,,,,,,,,,,,
GCA_000091405,5,['10', '6', '6', '1', '0'],,,,,,,,,,,,,,,,
GCA_000091465,4,['4', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000091545,3,['6', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000091565,5,['2', '1', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000091645,11,['3', '1', '2', '5', '6', '7', '5', '5', '1', '1', '0'],,,,,,,,,,
GCA_000091725,3,['7', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000091765,3,['4', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000091785,9,['8', '4', '3', '2', '2', '1', '1', '1', '0'],,,,,,,,,,,,
GCA_000091905,3,['3', '2', '0'],,,,,,,,,,,,,,,,,,
